performance_id,candidate_id,edition_id,round_id,program_label,performance_status,source_url,notes
1,1,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/piotr-alexewicz,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
2,1,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/piotr-alexewicz,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
3,1,1,3,Semifinal Round - Recital,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/piotr-alexewicz,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
4,1,1,4,Semifinal Round - Mozart Concerto,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/piotr-alexewicz,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
5,1,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/piotr-alexewicz,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
6,1,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/piotr-alexewicz,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
7,2,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jonas-aumiller,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
8,2,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jonas-aumiller,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
9,2,1,3,Semifinal Round - Recital,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jonas-aumiller,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
10,2,1,4,Semifinal Round - Mozart Concerto,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jonas-aumiller,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
11,2,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jonas-aumiller,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
12,2,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jonas-aumiller,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
13,3,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/alice-burla,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
14,3,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/alice-burla,"Candidate-page repertoire listing; status is performed only for rounds reached, planned otherwise."
